item_id,title,brand,category_id,domain_id,price,base_price,original_price,currency,condition,seller_id,free_shipping,logistic_type,available_quantity,listing_type_id,permalink,status,catalog_listing,catalog_product_id,seller_city,seller_state,seller_country
MLB3324443257,Xiaomi Mi Tv Stick Controle De Voz Full Hd 8gb Preto 1gb Ram,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,329.9,329.9,,BRL,new,1365270857,True,cross_docking,,gold_special,https://produto.mercadolivre.com.br/MLB-3324443257-xiaomi-mi-tv-stick-controle-de-voz-full-hd-8gb-preto-1gb-ram-_JM,active,False,,São Paulo,São Paulo,Brasil
MLB3970867291,Mi Tv Stick 2a Geração Xiaomi Controle De Voz Full Hd 8gb,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,499,499,,BRL,new,136227051,True,xd_drop_off,,gold_pro,https://produto.mercadolivre.com.br/MLB-3970867291-mi-tv-stick-2a-geraco-xiaomi-controle-de-voz-full-hd-8gb-_JM,active,False,MLB15984002,Osasco,São Paulo,Brasil
MLB1885103899,Suporte Google Home Mini Nest Mini Gato Gatinho Cat,Google,MLB278167,MLB-SMART_SPEAKERS,49,49,,BRL,new,403587844,False,xd_drop_off,,gold_pro,https://produto.mercadolivre.com.br/MLB-1885103899-suporte-google-home-mini-nest-mini-gato-gatinho-cat-_JM,active,False,,Limeira,São Paulo,Brasil
MLB3959122999,Mi Tv Stick 2a Geração Xiaomi Controle De Voz Full Hd 8gb 1g,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,399,399,,BRL,new,1638445797,True,fulfillment,,gold_special,https://produto.mercadolivre.com.br/MLB-3959122999-mi-tv-stick-2a-geraco-xiaomi-controle-de-voz-full-hd-8gb-1g-_JM,active,False,MLB15984002,Campinas,São Paulo,Brasil
MLB3960899513,Xiaomi Mi Tv Stick Em Português Com Controle Voz Full Hd 8gb,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,399.9,399.9,,BRL,new,2216449484,True,drop_off,,gold_pro,https://produto.mercadolivre.com.br/MLB-3960899513-xiaomi-mi-tv-stick-em-portugus-com-controle-voz-full-hd-8gb-_JM,active,False,,São Paulo,São Paulo,Brasil
MLB4971742776,Chromecast Google Ga03131 Google Tv Hd 8gb - Branco,Google,MLB133950,MLB-STREAMING_MEDIA_DEVICES,434,434,,BRL,new,1810750827,True,drop_off,,gold_special,https://produto.mercadolivre.com.br/MLB-4971742776-chromecast-google-ga03131-google-tv-hd-8gb-branco-_JM,active,True,MLB36633513,Populina,São Paulo,Brasil
MLB3120854462,Xiaomi Stick 4k Mdz-27-aa  4k 8gb  2gb De Memória Ram,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,411.68,411.68,,BRL,new,75485578,True,xd_drop_off,,gold_special,https://produto.mercadolivre.com.br/MLB-3120854462-xiaomi-stick-4k-mdz-27-aa-4k-8gb-2gb-de-memoria-ram-_JM,active,False,MLB22726590,Curitiba,Paraná,Brasil
MLB3919358805,Mi Tv Stick Android Com Controle De Voz Portátil Cor Preto,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,310,310,,BRL,new,521502117,True,drop_off,,gold_pro,https://produto.mercadolivre.com.br/MLB-3919358805-mi-tv-stick-android-com-controle-de-voz-portatil-cor-preto-_JM,active,True,MLB43977871,São Bernardo do Campo,São Paulo,Brasil
MLB3936835597,Smart Tv Stick Android 13 Allwinner H618 5g Hd 6k Android13,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,330,330,,BRL,new,1959579845,True,drop_off,,gold_pro,https://produto.mercadolivre.com.br/MLB-3936835597-smart-tv-stick-android-13-allwinner-h618-5g-hd-6k-android13-_JM,active,False,,São Paulo,São Paulo,Brasil
MLB2794233957,Xiaomi Mi Tv Stick Mdz-24-aa De Voz Full Hd 8gb Lacrado + Nf,Xiaomi,MLB133950,MLB-STREAMING_MEDIA_DEVICES,349.99,349.99,,BRL,new,812113270,True,xd_drop_off,,gold_pro,https://produto.mercadolivre.com.br/MLB-2794233957-xiaomi-mi-tv-stick-mdz-24-aa-de-voz-full-hd-8gb-lacrado-nf-_JM,active,False,MLB15984002,Serra,Espírito Santo,Brasil
